Date,Region,Type,Units,Sales
9/16/2020,North,Women's Clothing,26,476
10/18/2020,North,Women's Clothing,17,390
5/16/2020,North,Women's Clothing,34,112
03/03/2020,East,Women's Clothing,6,432
2/29/2020,East,Children's Clothing,33,156
3/21/2020,North,Women's Clothing,14,483
11/25/2020,South,Children's Clothing,32,84
12/16/2020,West,Children's Clothing,14,832
10/06/2020,South,Children's Clothing,24,832
8/15/2020,East,Children's Clothing,34,432
6/23/2020,South,Women's Clothing,15,348
02/01/2020,East,Women's Clothing,24,529
12/17/2020,South,Children's Clothing,10,200
07/03/2020,North,Women's Clothing,4,1089
11/27/2020,East,Children's Clothing,32,342
10/20/2020,North,Women's Clothing,6,432
3/17/2020,East,Women's Clothing,25,247
04/08/2020,East,Men's Clothing,3,806
9/27/2020,South,Women's Clothing,34,616
2/18/2020,West,Men's Clothing,3,918
8/23/2020,South,Children's Clothing,35,750
4/20/2020,East,Women's Clothing,15,448
1/24/2020,East,Women's Clothing,31,544
12/31/2020,West,Women's Clothing,20,520
1/16/2020,South,Men's Clothing,18,289
9/27/2020,East,Men's Clothing,28,1054
5/16/2020,South,Women's Clothing,18,90
8/23/2020,South,Children's Clothing,14,495
2/24/2020,South,Children's Clothing,13,336
8/20/2020,East,Women's Clothing,14,384
8/22/2020,East,Children's Clothing,27,406
4/24/2020,South,Children's Clothing,18,600
2/17/2020,East,Children's Clothing,11,918
01/11/2020,West,Children's Clothing,17,375
12/12/2020,East,Women's Clothing,9,624
01/07/2020,East,Men's Clothing,33,280
8/18/2020,North,Children's Clothing,15,132
5/17/2020,North,Women's Clothing,17,544
7/14/2020,North,Children's Clothing,25,126
10/16/2020,East,Men's Clothing,14,575
08/01/2020,North,Women's Clothing,18,57
06/03/2020,East,Men's Clothing,11,476
06/03/2020,West,Women's Clothing,14,66
06/10/2020,North,Children's Clothing,22,875
04/01/2020,East,Women's Clothing,10,345
11/20/2020,North,Children's Clothing,25,744
4/25/2020,North,Men's Clothing,,480
10/18/2020,East,Women's Clothing,25,324
12/24/2020,East,Children's Clothing,7,924
11/24/2020,South,Men's Clothing,25,540
11/01/2020,East,Children's Clothing,6,448
5/19/2020,North,Women's Clothing,17,221
9/29/2020,East,Men's Clothing,4,378
2/20/2020,East,Women's Clothing,15,675
07/08/2020,East,Women's Clothing,18,306
04/06/2020,North,Children's Clothing,34,319
06/12/2020,East,Children's Clothing,15,272
03/05/2020,East,Men's Clothing,34,180
2/20/2020,East,Women's Clothing,33,462
1/19/2020,North,Children's Clothing,18,390
7/27/2020,West,Men's Clothing,16,408
12/27/2020,West,Women's Clothing,7,400
1/13/2020,West,Children's Clothing,8,406
10/04/2020,East,Women's Clothing,34,342
12/26/2020,North,Men's Clothing,,275
12/20/2020,North,Children's Clothing,14,210
3/20/2020,East,Men's Clothing,23,352
12/05/2020,East,Women's Clothing,10,320
06/12/2020,East,Men's Clothing,31,725
6/14/2020,North,Men's Clothing,,465
02/06/2020,East,Men's Clothing,33,725
7/25/2020,East,Women's Clothing,25,133
8/20/2020,North,Women's Clothing,7,500
11/17/2020,North,Men's Clothing,,66
03/01/2020,East,Men's Clothing,5,544
5/26/2020,South,Children's Clothing,27,96
9/20/2020,East,Children's Clothing,32,360
3/30/2020,West,Children's Clothing,13,216
12/09/2020,East,Children's Clothing,23,1122
12/23/2020,North,Men's Clothing,,360
09/08/2020,West,Women's Clothing,24,850
1/14/2020,North,Women's Clothing,8,726
11/03/2020,North,Women's Clothing,29,324
3/28/2020,East,Men's Clothing,34,304
3/25/2020,East,Children's Clothing,24,140
06/09/2020,East,Women's Clothing,24,112
09/08/2020,East,Women's Clothing,30,510
03/03/2020,North,Women's Clothing,14,435
9/28/2020,West,Men's Clothing,34,182
12/12/2020,North,Women's Clothing,27,322
11/05/2020,East,Women's Clothing,11,250
9/15/2020,East,Children's Clothing,29,992
10/16/2020,East,Women's Clothing,14,308
8/21/2020,North,Men's Clothing,,957
9/16/2020,North,Women's Clothing,22,500
09/08/2020,North,Children's Clothing,26,105
07/04/2020,South,Women's Clothing,4,150
11/03/2020,West,Children's Clothing,24,115
4/25/2020,South,Women's Clothing,11,729
04/07/2020,East,Women's Clothing,24,448
8/29/2020,East,Women's Clothing,12,390
6/25/2020,North,Women's Clothing,5,644
3/29/2020,West,Children's Clothing,18,261
7/19/2020,East,Men's Clothing,24,552
8/27/2020,East,Women's Clothing,9,136
1/25/2020,North,Men's Clothing,,957
08/03/2020,North,Children's Clothing,7,918
09/12/2020,North,Children's Clothing,29,336
5/15/2020,North,Men's Clothing,,624
1/14/2020,West,Children's Clothing,6,900
11/14/2020,North,Women's Clothing,29,350
9/20/2020,East,Men's Clothing,8,680
03/11/2020,North,Women's Clothing,7,756
10/19/2020,East,Children's Clothing,19,198
10/07/2020,East,Women's Clothing,15,754
12/13/2020,North,Women's Clothing,31,308
02/07/2020,North,Women's Clothing,16,165
02/01/2020,East,Men's Clothing,14,550
2/24/2020,North,Women's Clothing,11,546
2/23/2020,South,Men's Clothing,7,84
4/27/2020,North,Women's Clothing,31,792
05/11/2020,South,Children's Clothing,27,297
12/11/2020,West,Men's Clothing,13,744
2/25/2020,South,Women's Clothing,35,288
1/20/2020,East,Women's Clothing,28,80
3/20/2020,East,Women's Clothing,35,288
8/19/2020,North,Men's Clothing,,672
7/22/2020,North,Men's Clothing,,171
09/03/2020,East,Children's Clothing,11,126
9/18/2020,East,Men's Clothing,21,175
12/29/2020,West,Women's Clothing,25,580
6/25/2020,East,Men's Clothing,22,192
12/29/2020,North,Women's Clothing,34,78
9/25/2020,North,Women's Clothing,32,406
10/19/2020,West,Women's Clothing,21,160
6/24/2020,West,Women's Clothing,16,98
12/22/2020,East,Children's Clothing,22,285
5/30/2020,East,Men's Clothing,21,255
1/26/2020,East,Children's Clothing,22,558
03/03/2020,South,Men's Clothing,18,512
04/09/2020,East,Men's Clothing,24,448
01/03/2020,South,Children's Clothing,16,198
2/26/2020,East,Women's Clothing,14,161
4/23/2020,North,Men's Clothing,,930
4/28/2020,North,Children's Clothing,35,297
10/28/2020,East,Men's Clothing,34,390
07/09/2020,North,Men's Clothing,,910
8/30/2020,South,Children's Clothing,5,420
07/03/2020,East,Children's Clothing,6,735
09/03/2020,North,Children's Clothing,5,324
03/06/2020,North,Children's Clothing,6,352
4/20/2020,East,Men's Clothing,33,121
04/10/2020,North,Children's Clothing,11,651
12/04/2020,West,Women's Clothing,28,325
3/22/2020,North,Men's Clothing,,550
07/02/2020,East,Women's Clothing,29,714
4/20/2020,South,Men's Clothing,26,832
03/02/2020,East,Men's Clothing,12,357
11/03/2020,South,Men's Clothing,13,480
07/03/2020,North,Women's Clothing,18,440
12/22/2020,North,Men's Clothing,,525
4/17/2020,North,Men's Clothing,,352
6/20/2020,North,Women's Clothing,20,486
05/06/2020,South,Women's Clothing,13,288
9/20/2020,West,Children's Clothing,23,272
12/18/2020,East,Children's Clothing,9,238
01/02/2020,East,Women's Clothing,9,374
8/13/2020,North,Women's Clothing,21,910
1/25/2020,East,Children's Clothing,30,884
03/12/2020,South,Men's Clothing,25,115
3/29/2020,West,Women's Clothing,18,165
12/26/2020,South,Women's Clothing,24,150
05/04/2020,East,Women's Clothing,35,65
01/12/2020,South,Children's Clothing,31,192
9/29/2020,North,Women's Clothing,16,1023
3/20/2020,East,Women's Clothing,13,198
7/27/2020,North,Men's Clothing,,476
5/14/2020,West,Men's Clothing,33,308
03/01/2020,East,Men's Clothing,18,522
02/12/2020,South,Children's Clothing,19,598
3/25/2020,North,Children's Clothing,24,396
11/30/2020,North,Men's Clothing,,273
08/07/2020,East,Children's Clothing,17,414
7/13/2020,North,Men's Clothing,,130
09/08/2020,North,Children's Clothing,31,120
6/22/2020,West,Men's Clothing,24,340
02/12/2020,North,Women's Clothing,28,364
4/24/2020,North,Women's Clothing,21,391
04/08/2020,East,Men's Clothing,35,243
4/14/2020,South,Children's Clothing,13,270
8/16/2020,North,Children's Clothing,27,525
6/28/2020,East,Children's Clothing,26,390
03/09/2020,West,Women's Clothing,13,725
12/14/2020,North,Children's Clothing,31,198
01/10/2020,North,Men's Clothing,,696
2/26/2020,North,Men's Clothing,,770
1/16/2020,East,Children's Clothing,32,744
10/08/2020,East,Men's Clothing,33,272
05/12/2020,North,Children's Clothing,29,182
4/13/2020,East,Women's Clothing,29,253
6/20/2020,East,Men's Clothing,12,924
11/08/2020,North,Men's Clothing,,216
9/25/2020,East,Children's Clothing,14,209
11/20/2020,North,Women's Clothing,31,360
1/14/2020,North,Men's Clothing,,512
07/01/2020,East,Children's Clothing,17,340
7/19/2020,East,Children's Clothing,26,108
6/16/2020,East,Men's Clothing,15,930
2/14/2020,West,Men's Clothing,24,312
9/24/2020,North,Women's Clothing,18,784
8/23/2020,North,Women's Clothing,22,336
09/03/2020,North,Women's Clothing,3,560
08/08/2020,North,Men's Clothing,,273
5/31/2020,North,Women's Clothing,8,351
2/19/2020,West,Men's Clothing,23,780
11/02/2020,South,Children's Clothing,35,156
02/04/2020,West,Men's Clothing,6,930
8/19/2020,East,Men's Clothing,6,928
3/31/2020,South,Women's Clothing,27,186
8/22/2020,East,Children's Clothing,27,672
7/28/2020,East,Women's Clothing,8,396
11/25/2020,South,Children's Clothing,8,841
1/17/2020,North,Men's Clothing,,464
05/12/2020,North,Men's Clothing,,372
10/27/2020,West,Women's Clothing,16,319
1/30/2020,North,Children's Clothing,9,350
01/10/2020,South,Men's Clothing,6,651
6/23/2020,North,Women's Clothing,20,390
8/19/2020,East,Women's Clothing,9,255
02/11/2020,West,Children's Clothing,22,468
10/24/2020,North,Children's Clothing,10,300
05/04/2020,North,Men's Clothing,,696
12/16/2020,East,Children's Clothing,4,324
01/09/2020,North,Women's Clothing,3,682
4/24/2020,East,Men's Clothing,28,36
9/26/2020,East,Children's Clothing,3,462
6/24/2020,North,Men's Clothing,,264
9/17/2020,West,Men's Clothing,10,621
12/27/2020,South,Men's Clothing,31,560
7/25/2020,West,Women's Clothing,10,144
5/16/2020,East,Children's Clothing,12,120
04/02/2020,North,Men's Clothing,,729
07/09/2020,West,Men's Clothing,13,432
5/28/2020,West,Women's Clothing,12,128
10/07/2020,East,Women's Clothing,31,104
11/05/2020,West,Women's Clothing,22,165
5/19/2020,North,Children's Clothing,29,560
3/29/2020,East,Women's Clothing,24,336
12/29/2020,East,Women's Clothing,30,225
9/30/2020,East,Children's Clothing,15,156
9/28/2020,East,Women's Clothing,16,540
07/10/2020,South,Men's Clothing,18,207
7/19/2020,South,Children's Clothing,20,352
10/23/2020,West,Children's Clothing,16,120
01/11/2020,West,Women's Clothing,19,532
7/22/2020,North,Women's Clothing,28,76
9/24/2020,East,Men's Clothing,15,54
8/16/2020,East,Children's Clothing,13,532
9/25/2020,South,Children's Clothing,34,99
06/01/2020,North,Women's Clothing,17,450
2/24/2020,North,Men's Clothing,,210
6/24/2020,East,Women's Clothing,4,341
7/23/2020,East,Women's Clothing,17,200
08/09/2020,East,Women's Clothing,12,144
8/30/2020,West,Children's Clothing,21,60
10/02/2020,East,Women's Clothing,24,390
05/01/2020,West,Children's Clothing,32,348
2/18/2020,East,Children's Clothing,34,713
12/29/2020,North,Children's Clothing,24,330
6/20/2020,South,Men's Clothing,20,638
5/23/2020,East,Men's Clothing,33,384
6/25/2020,East,Women's Clothing,4,600
2/26/2020,North,Men's Clothing,,300
10/25/2020,West,Men's Clothing,28,416
1/23/2020,East,Men's Clothing,7,360
6/20/2020,East,Women's Clothing,10,320
9/25/2020,East,Women's Clothing,24,224
11/01/2020,West,Women's Clothing,29,380
04/12/2020,North,Men's Clothing,,364
1/30/2020,North,Men's Clothing,,285
12/05/2020,East,Women's Clothing,35,247
1/27/2020,West,Children's Clothing,34,510
06/12/2020,West,Women's Clothing,19,442
12/14/2020,South,Women's Clothing,25,348
5/19/2020,South,Children's Clothing,13,104
4/30/2020,East,Women's Clothing,7,459
12/11/2020,East,Women's Clothing,33,276
2/24/2020,East,Women's Clothing,32,693
10/25/2020,East,Women's Clothing,26,336
12/07/2020,North,Women's Clothing,24,1056
11/05/2020,East,Children's Clothing,14,578
5/19/2020,South,Men's Clothing,5,720
7/15/2020,West,Children's Clothing,11,220
2/28/2020,South,Women's Clothing,21,627
2/15/2020,North,Women's Clothing,13,120
8/13/2020,East,Men's Clothing,32,132
1/27/2020,North,Children's Clothing,23,420
01/07/2020,North,Women's Clothing,34,147
8/18/2020,South,Women's Clothing,7,200
11/30/2020,West,Women's Clothing,6,360
1/22/2020,North,Women's Clothing,7,783
1/16/2020,East,Children's Clothing,27,476
7/20/2020,West,Women's Clothing,25,442
11/28/2020,West,Women's Clothing,12,770
10/29/2020,North,Women's Clothing,19,408
9/21/2020,West,Men's Clothing,35,437
10/04/2020,East,Men's Clothing,35,350
10/18/2020,East,Women's Clothing,13,338
9/17/2020,East,Women's Clothing,17,161
1/17/2020,North,Children's Clothing,25,825
10/20/2020,East,Men's Clothing,32,928
08/06/2020,South,Women's Clothing,26,546
8/19/2020,East,Women's Clothing,24,384
3/20/2020,East,Men's Clothing,14,238
09/06/2020,North,Women's Clothing,5,90
06/05/2020,East,Children's Clothing,11,220
2/18/2020,South,Children's Clothing,21,462
12/21/2020,North,Children's Clothing,13,169
02/08/2020,West,Men's Clothing,32,928
07/08/2020,North,Women's Clothing,23,276
4/23/2020,South,Women's Clothing,34,680
5/31/2020,North,Women's Clothing,7,231
05/04/2020,East,Men's Clothing,6,108
12/17/2020,North,Children's Clothing,7,217
11/17/2020,West,Men's Clothing,27,486
4/15/2020,South,Women's Clothing,25,750
6/23/2020,North,Women's Clothing,12,192
10/18/2020,East,Women's Clothing,19,399
02/11/2020,East,Children's Clothing,35,735
12/25/2020,North,Men's Clothing,,1155
8/31/2020,South,Men's Clothing,13,208
8/23/2020,South,Women's Clothing,17,493
8/17/2020,North,Women's Clothing,25,300
